SMILES,134_KAC,134_KAH,140_KAC,140_KAD,148_KAG,154_KAN,156_KAE,168_KAK,178_KAA,182_KAD,192_KAO,200_KAR,204_KAM,210_KAF,212_KAL,216_KAA,216_KAN,220_KAH,222_KAV,22_KAI,22_KAJ,260_KAF,268_KAL,284_KAJ,286_KAM,290_KBA,296_KAW,304_KAQ,310_KAQ,314_KAF,322_KAK,340_KAH,342_KAI,34_KAS,56_KAS,58_KAF,72_KAI,80_KAD,8_KAI,92_KAM,104_KAF
CCCC(=O)NNC(=O)Nc1ccccc1,-5.5,-6.1,-5.3,-6.0,-6.7,-5.5,-6.1,-5.4,-6.2,-5.8,-6.9,-6.4,-4.4,-6.3,-6.1,-5.9,-5.6,-5.3,-5.3,-6.0,-5.9,-5.5,-5.8,-4.9,-4.8,-6.4,-6.2,-5.6,-6.4,-5.4,-5.2,-5.6,-5.9,-5.2,-5.5,-5.9,-5.4,-5.1,-6.7,-4.9,-8.0
CC(=O)NC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4C(C)C(C)CCC4(C)CCC23C)C1(C)C(=O)O,-6.8,-6.1,-5.3,-6.9,-9.1,-5.0,-6.5,-8.0,-6.2,-9.1,-8.6,-6.0,-6.5,-9.2,-7.1,-7.2,-8.7,-6.4,-6.6,-6.8,-8.7,-8.6,-8.7,-7.4,-8.6,-8.3,-11.0,-8.4,-6.6,-6.0,-6.6,-7.7,-5.3,-5.2,-6.8,-7.0,-8.4,-6.8,-7.5,-5.6,-6.4
CC(C)CN(C(=O)c1ccc2c(c1)OCO2)C1CCS(=O)(=O)C1,-5.8,-7.3,-6.8,-5.7,-7.4,-6.3,-6.2,-5.5,-6.0,-6.7,-7.7,-6.1,-4.7,-6.8,-5.8,-7.4,-5.7,-5.5,-5.9,-5.7,-6.2,-6.4,-6.3,-5.2,-5.5,-6.9,-7.1,-6.4,-6.1,-6.4,-5.4,-5.7,-5.6,-6.5,-6.0,-6.5,-6.3,-5.1,-6.3,-6.4,-7.5
CC(=O)CCCCCC(NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc(Cl)cc2)[nH]1,-6.9,-8.5,-7.5,-6.6,-7.9,-6.7,-6.2,-5.4,-6.2,-7.4,-8.3,-6.4,-5.0,-8.3,-6.3,-9.2,-6.4,-6.5,-6.4,-7.1,-7.1,-6.4,-7.1,-6.0,-5.8,-6.9,-8.5,-7.0,-8.0,-8.0,-5.8,-6.6,-6.3,-7.3,-6.9,-6.6,-6.6,-5.5,-8.1,-6.7,-8.5
CC(C)(F)c1nc2ccccc2n1Cc1ccc(C(=O)NC2CCOCC2C(=O)NO)cc1,-7.5,-6.1,-5.4,-7.9,-8.7,-6.0,-7.1,-7.3,-7.1,-9.2,-9.4,-6.3,-6.3,-8.5,-7.5,-7.0,-8.1,-6.9,-7.5,-7.5,-8.1,-7.5,-7.7,-6.9,-7.6,-8.4,-9.2,-7.7,-8.3,-5.4,-7.4,-7.0,-7.1,-5.4,-8.3,-8.9,-7.5,-7.1,-7.8,-5.3,-6.7
CC(C#N)N(CCc1ccccc1)C(=O)c1ccccc1,-5.7,-7.0,-5.7,-5.0,-6.7,-5.6,-5.9,-5.5,-5.9,-6.1,-7.2,-4.5,-4.9,-7.1,-5.0,-7.8,-6.0,-5.1,-5.8,-5.8,-6.3,-5.6,-6.7,-5.1,-5.9,-6.5,-7.4,-5.7,-6.5,-6.6,-5.1,-5.9,-5.5,-6.1,-5.9,-5.8,-5.9,-5.2,-5.7,-5.8,-7.8
CCN(CC)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C(=O)N(CC)CC)C3)cc2)C1,-7.2,-7.6,-7.2,-5.4,-7.7,-6.5,-5.7,-5.8,-6.8,-7.0,-8.4,-6.2,-4.7,-7.2,-5.4,-8.2,-6.7,-5.4,-6.0,-6.0,-6.4,-7.2,-6.6,-5.7,-6.1,-6.3,-8.1,-6.7,-7.3,-7.2,-6.1,-6.2,-5.9,-6.8,-6.4,-6.8,-7.0,-5.1,-6.0,-6.6,-8.2
CCOC(=O)c1sc(Nc2ccc(-c3cccc(OC)c3)cc2)nc1-c1ccccc1,-8.1,-7.4,-6.3,-6.8,-8.2,-5.9,-6.5,-6.8,-7.3,-7.9,-8.8,-6.0,-5.8,-9.2,-6.7,-8.5,-8.1,-6.1,-7.1,-7.6,-7.8,-7.0,-8.0,-6.6,-7.2,-7.5,-9.2,-6.8,-7.9,-6.7,-6.0,-6.7,-6.9,-6.1,-7.2,-7.8,-7.3,-6.4,-7.4,-6.8,-7.0
CCOC(=O)c1c(C)c(-c2ccccc2)n(CC(=O)Nc2cccc(F)c2)c1C,-6.8,-6.4,-5.0,-6.4,-7.6,-4.9,-6.7,-6.1,-6.0,-6.7,-8.3,-5.7,-5.2,-8.3,-6.2,-6.5,-7.5,-5.8,-6.7,-7.1,-6.8,-6.4,-7.9,-5.7,-6.5,-7.8,-7.9,-7.2,-6.9,-5.2,-5.7,-6.6,-5.7,-5.3,-7.5,-6.9,-6.8,-5.9,-6.5,-5.4,-5.9
Clc1cccc2c1OC(C1=NCCN1)CO2,-6.1,-7.1,-5.9,-5.5,-6.4,-5.4,-5.8,-5.2,-5.6,-6.4,-6.9,-5.8,-4.8,-5.9,-5.2,-7.1,-5.5,-5.7,-5.3,-5.8,-5.8,-5.4,-5.4,-4.8,-5.1,-6.0,-6.3,-5.9,-6.7,-6.1,-4.8,-5.0,-5.4,-6.1,-6.2,-5.6,-5.5,-5.1,-5.5,-6.1,-6.6
C=CCC(C(=O)NO)C(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)c1cccs1,-6.5,-8.8,-7.7,-5.7,-7.4,-6.7,-6.8,-5.8,-6.4,-6.7,-7.8,-7.5,-5.2,-7.2,-5.4,-9.3,-6.5,-5.8,-7.1,-6.2,-6.8,-6.6,-7.1,-5.8,-5.9,-7.6,-8.0,-6.8,-6.4,-8.4,-5.6,-6.1,-5.1,-7.6,-6.9,-6.3,-6.5,-6.6,-6.8,-7.7,-9.0
CCc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C3CC3)c(N3CCCC(N)C3)n2)c1,-8.1,-7.4,-5.9,-7.1,-9.5,-5.4,-7.4,-7.8,-7.9,-9.0,-9.3,-6.8,-6.4,-10.0,-7.4,-6.9,-8.8,-7.6,-8.2,-9.1,-8.2,-8.3,-8.4,-7.5,-7.7,-8.5,-9.0,-8.3,-8.1,-6.3,-7.4,-8.0,-6.7,-5.5,-8.5,-8.7,-8.4,-6.8,-8.2,-6.3,-7.6
O=[N+]([O-])c1cccc(COc2ccccc2CN2CCCCC2)c1,-6.3,-8.4,-6.8,-6.3,-7.8,-6.9,-6.6,-5.3,-6.5,-7.4,-8.2,-7.2,-4.9,-7.3,-6.4,-8.2,-6.5,-5.9,-6.1,-7.0,-6.7,-6.1,-6.6,-5.0,-6.4,-7.0,-8.0,-6.9,-6.8,-7.1,-6.0,-6.4,-5.8,-6.5,-6.8,-6.6,-6.4,-6.3,-6.0,-7.7,-8.7
O=C(O)c1cc(-n2c(-c3cccc(C(F)(F)F)c3)cc3c2CCCC3)ccc1O,-7.5,-7.5,-5.7,-7.5,-9.1,-5.5,-7.8,-7.1,-7.6,-8.3,-9.2,-5.1,-6.1,-9.2,-7.1,-7.9,-7.2,-6.9,-7.5,-8.0,-8.0,-7.5,-8.1,-6.7,-7.6,-8.1,-9.1,-7.8,-8.3,-6.8,-6.9,-8.1,-7.0,-5.6,-7.8,-7.7,-8.1,-7.3,-7.9,-5.7,-6.6
C=CCN1C(=O)C(CC(=O)Nc2ccc(OCCC)cc2)N(CCCN2CCN(Cc3ccccc3)CC2)C1=S,-6.8,-4.6,-4.1,-6.0,-7.6,-4.2,-6.2,-6.2,-6.1,-6.9,-8.1,-5.3,-4.5,-7.7,-6.2,-4.7,-7.4,-6.4,-6.6,-6.9,-6.8,-7.6,-6.8,-6.1,-5.7,-7.1,-8.1,-6.5,-7.3,-4.0,-5.9,-6.0,-5.2,-4.0,-6.1,-6.9,-6.8,-5.5,-6.5,-3.7,-4.7
CC(C)=CCOC(=O)C(C)=[N+]=[N-],-4.5,-7.8,-6.5,-4.3,-4.8,-6.7,-4.4,-3.8,-5.0,-4.5,-5.1,-6.3,-4.3,-5.2,-4.2,-8.3,-4.4,-3.7,-4.1,-4.1,-4.2,-4.0,-4.2,-3.2,-4.0,-4.5,-5.3,-4.5,-4.7,-7.4,-3.6,-4.0,-4.7,-7.4,-4.3,-4.3,-3.9,-3.7,-4.7,-6.8,-7.4
Cc1ccc(S(=O)(=O)Nc2cc3c(cc2N2CCOCC2)n(C)c(=O)c(=O)n3C)cc1,-7.8,-6.0,-5.3,-6.8,-8.5,-5.7,-6.9,-6.8,-7.3,-8.1,-8.7,-6.2,-5.4,-9.0,-7.0,-6.5,-7.9,-6.6,-7.7,-7.7,-8.2,-7.5,-7.8,-6.8,-6.9,-8.2,-8.6,-7.6,-7.7,-5.3,-6.5,-7.2,-6.1,-5.2,-7.2,-8.1,-8.2,-6.3,-7.5,-5.4,-6.5
Cc1cc(C)n(CC(=O)c2ccc(F)cc2)n1,-6.1,-7.7,-5.9,-5.4,-7.0,-6.0,-5.7,-5.4,-6.0,-6.2,-7.1,-5.9,-4.8,-6.9,-5.6,-7.3,-5.7,-5.2,-5.4,-6.1,-5.8,-5.6,-5.8,-4.6,-5.0,-6.1,-6.8,-5.9,-6.3,-6.8,-5.0,-5.3,-5.8,-6.4,-6.0,-5.6,-5.4,-4.8,-5.6,-6.3,-7.8
C=C(CCC12OC(CO)C(O)(C(=O)O)C(C(=O)O)(O1)C(OC(=O)C=CC(C)CC(C)CC)C2O)C(OC(C)=O)C(C)Cc1ccccc1,-6.7,-9.0,-7.6,-5.7,-7.9,-7.4,-6.2,-6.3,-6.1,-7.2,-8.0,-8.1,-4.8,-7.8,-5.8,-8.8,-6.7,-5.1,-7.0,-7.1,-6.7,-7.0,-6.4,-6.1,-7.0,-7.4,-7.4,-6.4,-7.0,-7.9,-5.9,-6.0,-5.5,-7.3,-5.9,-6.0,-7.0,-5.5,-6.2,-7.0,-8.6
Nc1nccn2c(-c3cccc(NC(=O)c4cc(F)cc(F)c4)c3)cnc12,-7.8,-8.4,-7.8,-7.5,-9.0,-7.3,-7.1,-7.3,-7.4,-8.7,-10.0,-7.5,-6.0,-8.7,-8.2,-8.7,-7.9,-7.0,-7.4,-8.5,-8.4,-7.9,-8.0,-6.8,-7.3,-8.2,-8.9,-8.5,-9.0,-7.7,-6.8,-7.4,-7.5,-7.3,-7.7,-8.0,-8.0,-6.8,-8.5,-6.9,-9.1
CC(=O)Nc1cccc(Nc2cc3cc(NC(N)=O)ccc3[nH]c2=O)c1,-7.9,-6.6,-4.6,-7.7,-8.5,-5.7,-7.6,-7.3,-7.3,-9.4,-9.0,-5.2,-6.4,-8.8,-7.8,-6.9,-8.3,-7.3,-7.2,-8.3,-7.9,-7.8,-7.8,-7.0,-7.0,-7.7,-9.0,-8.6,-8.9,-5.6,-6.7,-7.3,-7.5,-5.8,-8.1,-8.2,-7.6,-6.7,-7.6,-5.0,-7.0
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(OC(=O)CCNCCCl)c(OC)c2)ccc1OC(=O)CCNCCCl,-6.7,-8.2,-6.7,-5.1,-6.4,-6.5,-5.1,-5.2,-5.9,-5.8,-6.5,-7.3,-3.8,-7.4,-6.3,-8.5,-6.5,-4.8,-5.9,-6.7,-5.1,-6.4,-5.5,-5.4,-5.6,-6.4,-6.3,-6.0,-6.3,-7.8,-4.9,-5.5,-5.4,-6.9,-5.1,-6.1,-6.2,-5.0,-7.2,-7.5,-7.8
CCN(C(=O)c1cc2c(=O)oc3ccc(C)cc3c2s1)c1ccccc1F,-6.3,-8.3,-7.2,-6.6,-8.8,-7.0,-7.2,-6.8,-6.9,-8.7,-9.1,-7.2,-5.5,-8.9,-6.8,-9.8,-7.7,-6.4,-7.3,-7.6,-7.5,-7.0,-7.6,-6.5,-6.7,-7.5,-8.5,-7.3,-7.2,-8.0,-6.2,-7.2,-6.3,-7.3,-7.2,-7.7,-7.5,-6.4,-7.1,-7.3,-9.0
Cc1cccc(C(CO)N=C(O)c2ccc(-c3cc(-c4ccnn4C)cnc3N)cc2F)c1,-8.1,-6.8,-6.4,-7.8,-8.5,-6.7,-7.8,-7.6,-6.8,-8.5,-9.3,-6.8,-6.0,-8.9,-6.6,-7.2,-8.0,-7.1,-7.5,-9.1,-8.2,-7.5,-7.5,-7.0,-7.3,-8.3,-9.0,-8.1,-8.2,-5.8,-7.2,-8.0,-7.7,-5.6,-7.6,-8.6,-7.8,-7.2,-7.5,-6.0,-7.5
Cc1cc(C)c(-c2cc(C(=O)O)n[nH]2)cc1C,-6.7,-6.9,-5.5,-6.5,-7.8,-5.5,-6.9,-5.7,-5.9,-6.6,-7.5,-6.1,-5.5,-7.5,-6.4,-6.8,-6.4,-5.7,-6.2,-6.7,-6.4,-6.1,-6.4,-5.3,-5.7,-6.7,-7.3,-6.7,-7.0,-6.2,-5.6,-6.0,-6.9,-5.4,-6.4,-6.4,-6.3,-5.5,-7.1,-5.7,-6.8
COc1cccc(NC(=O)C2CCCN(S(C)(=O)=O)C2)c1,-6.0,-6.0,-5.3,-5.7,-6.8,-5.2,-6.0,-5.5,-5.7,-6.5,-7.4,-6.3,-4.6,-7.1,-6.3,-6.6,-6.2,-5.9,-6.1,-6.0,-6.1,-5.7,-6.4,-5.3,-5.3,-6.7,-6.9,-6.3,-6.7,-5.6,-5.4,-5.9,-6.6,-5.6,-6.2,-6.2,-6.0,-5.6,-6.2,-5.2,-6.3
O=C(O)CC1SC(Nc2ccc(O)cc2)=NC1=O,-5.4,-7.7,-6.6,-5.4,-6.6,-6.3,-5.6,-5.5,-5.2,-6.4,-6.7,-7.1,-4.2,-6.5,-5.8,-7.9,-5.6,-5.4,-5.4,-6.0,-5.7,-5.7,-5.7,-5.6,-5.1,-6.2,-6.5,-5.9,-6.6,-7.4,-5.2,-5.3,-6.1,-6.7,-5.8,-6.7,-5.4,-5.5,-6.0,-6.8,-8.4
Nc1ccc2cc(C(=O)NNC(=O)c3ccc([N+](=O)[O-])o3)ccc2c1,-7.2,-6.0,-5.8,-6.7,-8.2,-5.5,-7.3,-7.1,-7.0,-7.8,-9.1,-6.4,-5.6,-8.5,-6.9,-6.2,-7.5,-6.8,-6.7,-8.0,-7.5,-6.9,-7.2,-6.3,-6.5,-7.1,-8.6,-7.3,-8.1,-5.5,-6.4,-7.4,-7.5,-5.2,-7.2,-7.2,-7.4,-6.9,-7.8,-5.3,-6.5
CNC(=S)NN=C(C)c1ccc(C)c(C)c1,-6.0,-7.9,-6.7,-5.8,-6.9,-5.9,-6.0,-5.4,-6.3,-6.3,-7.1,-6.2,-5.0,-6.6,-5.7,-8.1,-5.9,-5.3,-5.5,-6.3,-5.7,-5.9,-5.8,-5.0,-5.3,-6.3,-6.2,-6.4,-6.3,-6.7,-5.1,-5.2,-5.6,-6.2,-5.7,-6.2,-5.9,-5.2,-6.0,-6.1,-7.9
